[DEBUG] [2022-11-13 19:00:39] AbstractApplicationContext.prepareRefresh(629) | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@3fb4f649
[DEBUG] [2022-11-13 19:00:39] XmlBeanDefinitionReader.doLoadBeanDefinitions(393) | Loaded 3 bean definitions from class path resource [applicationContext.xml]
[DEBUG] [2022-11-13 19:00:39] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'defaultConfigProperty'
[DEBUG] [2022-11-13 19:00:39] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'defaultConfigOption'
[INFO] [2022-11-13 19:00:39] ConfigProperty.getConfigInputStream(123) | Load config from conf/ca.crt failed, trying to load from the resourcePath /Users/zhangtiancai/fisco/asset-app/dist/conf/
[INFO] [2022-11-13 19:00:39] ConfigProperty.getConfigInputStream(123) | Load config from conf/sdk.crt failed, trying to load from the resourcePath /Users/zhangtiancai/fisco/asset-app/dist/conf/
[INFO] [2022-11-13 19:00:39] ConfigProperty.getConfigInputStream(123) | Load config from conf/sdk.key failed, trying to load from the resourcePath /Users/zhangtiancai/fisco/asset-app/dist/conf/
[DEBUG] [2022-11-13 19:00:39] CryptoMaterialConfig.<init>(137) | Load cryptoMaterial, caCertPath: /Users/zhangtiancai/fisco/asset-app/dist/conf/conf/ca.crt, sdkCertPath: /Users/zhangtiancai/fisco/asset-app/dist/conf/conf/sdk.crt, sdkPrivateKeyPath:/Users/zhangtiancai/fisco/asset-app/dist/conf/conf/sdk.key, enSSLCertPath: null, enSSLPrivateKeyPath:null
[DEBUG] [2022-11-13 19:00:39] InternalLoggerFactory.useSlf4JLoggerFactory(63) | Using SLF4J as the default logging framework
[DEBUG] [2022-11-13 19:00:39] NetUtil.<clinit>(136) | -Djava.net.preferIPv4Stack: false
[DEBUG] [2022-11-13 19:00:40] NetUtil.<clinit>(137) | -Djava.net.preferIPv6Addresses: false
[DEBUG] [2022-11-13 19:00:40] NetUtilInitializations.determineLoopback(129) | Loopback interface: lo0 (lo0, 0:0:0:0:0:0:0:1%lo0)
[DEBUG] [2022-11-13 19:00:40] PlatformDependent0.explicitNoUnsafeCause0(495) | -Dio.netty.noUnsafe: false
[DEBUG] [2022-11-13 19:00:40] PlatformDependent0.javaVersion0(998) | Java version: 8
[DEBUG] [2022-11-13 19:00:40] PlatformDependent0.<clinit>(136) | sun.misc.Unsafe.theUnsafe: available
[DEBUG] [2022-11-13 19:00:40] PlatformDependent0.<clinit>(160) | sun.misc.Unsafe.copyMemory: available
[DEBUG] [2022-11-13 19:00:40] PlatformDependent0.<clinit>(192) | sun.misc.Unsafe.storeFence: available
[DEBUG] [2022-11-13 19:00:40] PlatformDependent0.<clinit>(235) | java.nio.Buffer.address: available
[DEBUG] [2022-11-13 19:00:40] PlatformDependent0.<clinit>(306) | direct buffer constructor: available
[DEBUG] [2022-11-13 19:00:40] PlatformDependent0.<clinit>(384) | java.nio.Bits.unaligned: available, true
[DEBUG] [2022-11-13 19:00:40] PlatformDependent0.<clinit>(458) | jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable prior to Java9
[DEBUG] [2022-11-13 19:00:40] PlatformDependent0.<clinit>(481) | java.nio.DirectByteBuffer.<init>(long, int): available
[DEBUG] [2022-11-13 19:00:40] PlatformDependent.unsafeUnavailabilityCause0(1120) | sun.misc.Unsafe: available
[DEBUG] [2022-11-13 19:00:40] PlatformDependent.tmpdir0(1250) | -Dio.netty.tmpdir: /var/folders/wv/d1kd497x52j3mf0_tglrywd00000gn/T (java.io.tmpdir)
[DEBUG] [2022-11-13 19:00:40] PlatformDependent.bitMode0(1329) | -Dio.netty.bitMode: 64 (sun.arch.data.model)
[DEBUG] [2022-11-13 19:00:40] PlatformDependent.isOsx0(1088) | Platform: MacOS
[DEBUG] [2022-11-13 19:00:40] PlatformDependent.<clinit>(178) | -Dio.netty.maxDirectMemory: 3817865216 bytes
[DEBUG] [2022-11-13 19:00:40] PlatformDependent.<clinit>(185) | -Dio.netty.uninitializedArrayAllocationThreshold: -1
[DEBUG] [2022-11-13 19:00:40] CleanerJava6.<clinit>(92) | java.nio.ByteBuffer.cleaner(): available
[DEBUG] [2022-11-13 19:00:40] PlatformDependent.<clinit>(205) | -Dio.netty.noPreferDirect: false
[DEBUG] [2022-11-13 19:00:40] NetUtil$SoMaxConnAction.run(191) | Failed to get SOMAXCONN from sysctl and file /proc/sys/net/core/somaxconn. Default: 128
[DEBUG] [2022-11-13 19:00:40] ThreadPoolConfig.<init>(54) | Init ThreadPoolConfig, channelProcessorThreadSize: 16, receiptProcessorThreadSize: 16, maxBlockingQueueSize: 102400
[DEBUG] [2022-11-13 19:00:40] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'bcosSDK'
[DEBUG] [2022-11-13 19:00:40] ResourceLeakDetector.<clinit>(129) | -Dio.netty.leakDetection.level: simple
[DEBUG] [2022-11-13 19:00:40] ResourceLeakDetector.<clinit>(130) | -Dio.netty.leakDetection.targetRecords: 4
[DEBUG] [2022-11-13 19:00:40] ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(196) | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@646be2c3
[DEBUG] [2022-11-13 19:00:40] PlatformDependent$Mpsc.<clinit>(971) | org.jctools-core.MpscChunkedArrayQueue: available
[DEBUG] [2022-11-13 19:00:40] InternalThreadLocalMap.<clinit>(86) | -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
[DEBUG] [2022-11-13 19:00:40] InternalThreadLocalMap.<clinit>(89) | -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
[INFO] [2022-11-13 19:00:40] ConnectionManager.<init>(88) |  all connections, size: 2, list: [ConnectionInfo{host='127.0.0.1', port=20200}, ConnectionInfo{host='127.0.0.1', port=20201}]
[INFO] [2022-11-13 19:00:40] NetworkImp.start(167) | 
* TRACE INFORMATION:
----------------------------
====> STEP1: try to connect nodes with ecdsa context...

[INFO] [2022-11-13 19:00:40] NetworkImp.start(174) | ====> <==== STEP1-1: Load certificates for ecdsa context success..., start connManager with ECDSA sslContext
[DEBUG] [2022-11-13 19:00:40] ConnectionManager.startConnect(99) |  start connect. 
[DEBUG] [2022-11-13 19:00:40] MultithreadEventLoopGroup.<clinit>(44) | -Dio.netty.eventLoopThreads: 16
[DEBUG] [2022-11-13 19:00:40] NioEventLoop.<clinit>(109) | -Dio.netty.noKeySetOptimization: false
[DEBUG] [2022-11-13 19:00:40] NioEventLoop.<clinit>(110) | -Dio.netty.selectorAutoRebuildThreshold: 512
[INFO] [2022-11-13 19:00:40] ConnectionManager.initSslContext(238) |  build ECDSA ssl context with configured certificates 
[DEBUG] [2022-11-13 19:00:40] AbstractByteBuf.<clinit>(63) | -Dio.netty.buffer.checkAccessible: true
[DEBUG] [2022-11-13 19:00:40] AbstractByteBuf.<clinit>(64) | -Dio.netty.buffer.checkBounds: true
[DEBUG] [2022-11-13 19:00:40] ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(196) | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@e7edb54
[DEBUG] [2022-11-13 19:00:40] PooledByteBufAllocator.<clinit>(157) | -Dio.netty.allocator.numHeapArenas: 16
[DEBUG] [2022-11-13 19:00:40] PooledByteBufAllocator.<clinit>(158) | -Dio.netty.allocator.numDirectArenas: 16
[DEBUG] [2022-11-13 19:00:40] PooledByteBufAllocator.<clinit>(160) | -Dio.netty.allocator.pageSize: 8192
[DEBUG] [2022-11-13 19:00:40] PooledByteBufAllocator.<clinit>(165) | -Dio.netty.allocator.maxOrder: 9
[DEBUG] [2022-11-13 19:00:40] PooledByteBufAllocator.<clinit>(169) | -Dio.netty.allocator.chunkSize: 4194304
[DEBUG] [2022-11-13 19:00:40] PooledByteBufAllocator.<clinit>(170) | -Dio.netty.allocator.smallCacheSize: 256
[DEBUG] [2022-11-13 19:00:40] PooledByteBufAllocator.<clinit>(171) | -Dio.netty.allocator.normalCacheSize: 64
[DEBUG] [2022-11-13 19:00:40] PooledByteBufAllocator.<clinit>(172) | -Dio.netty.allocator.maxCachedBufferCapacity: 32768
[DEBUG] [2022-11-13 19:00:40] PooledByteBufAllocator.<clinit>(173) | -Dio.netty.allocator.cacheTrimInterval: 8192
[DEBUG] [2022-11-13 19:00:40] PooledByteBufAllocator.<clinit>(174) | -Dio.netty.allocator.cacheTrimIntervalMillis: 0
[DEBUG] [2022-11-13 19:00:40] PooledByteBufAllocator.<clinit>(175) | -Dio.netty.allocator.useCacheForAllThreads: false
[DEBUG] [2022-11-13 19:00:40] PooledByteBufAllocator.<clinit>(176) | -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
[DEBUG] [2022-11-13 19:00:40] ByteBufUtil.<clinit>(87) | -Dio.netty.allocator.type: pooled
[DEBUG] [2022-11-13 19:00:40] ByteBufUtil.<clinit>(96) | -Dio.netty.threadLocalDirectBufferSize: 0
[DEBUG] [2022-11-13 19:00:40] ByteBufUtil.<clinit>(99) | -Dio.netty.maxThreadLocalCharBufferSize: 16384
[DEBUG] [2022-11-13 19:00:40] NativeLibraryLoader.<clinit>(78) | -Dio.netty.native.workdir: /var/folders/wv/d1kd497x52j3mf0_tglrywd00000gn/T (io.netty.tmpdir)
[DEBUG] [2022-11-13 19:00:40] NativeLibraryLoader.<clinit>(83) | -Dio.netty.native.deleteLibAfterLoading: true
[DEBUG] [2022-11-13 19:00:40] NativeLibraryLoader.<clinit>(87) | -Dio.netty.native.tryPatchShadedId: true
[DEBUG] [2022-11-13 19:00:40] NativeLibraryLoader.<clinit>(91) | -Dio.netty.native.detectNativeLibraryDuplicates: true
[DEBUG] [2022-11-13 19:00:41] NativeLibraryLoader.loadLibrary(384) | Successfully loaded the library /var/folders/wv/d1kd497x52j3mf0_tglrywd00000gn/T/libnetty_tcnative_osx_x86_641182617048606460594.dylib
[DEBUG] [2022-11-13 19:00:41] NativeLibraryLoader.loadFirstAvailable(106) | Loaded library with name 'netty_tcnative_osx_x86_64'
[DEBUG] [2022-11-13 19:00:41] OpenSsl.<clinit>(159) | Initialize netty-tcnative using engine: 'default'
[DEBUG] [2022-11-13 19:00:41] OpenSsl.<clinit>(184) | netty-tcnative using native library: OpenSSL/TaSSL 1.0.2o  27 Mar 2018
[DEBUG] [2022-11-13 19:00:41] ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(196) | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@2d52216b
[DEBUG] [2022-11-13 19:00:41] Recycler.<clinit>(85) | -Dio.netty.recycler.maxCapacityPerThread: 4096
[DEBUG] [2022-11-13 19:00:41] Recycler.<clinit>(86) | -Dio.netty.recycler.ratio: 8
[DEBUG] [2022-11-13 19:00:41] Recycler.<clinit>(87) | -Dio.netty.recycler.chunkSize: 32
[DEBUG] [2022-11-13 19:00:41] Recycler.<clinit>(88) | -Dio.netty.recycler.blocking: false
